Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44
Simple_repeat	0.165	0.0	0.004	0.021	0.053	0.044	0.012	0.027	0.038	0.044	0.03	0.031	0.039	0.048	0.039	0.031	0.035	0.032	0.036	0.034	0.035	0.034	0.027	0.024	0.026	0.017	0.016	0.014	0.012	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.0	0	0.005	0.002	0.002	0.003	0.006	0.011	0.012	0.018	0.024	0.023	0.032	0.041	0.047	0.049	0.063	0.069	0.064	0.059	0.075	0.063	0.063	0.056	0.046	0.046	0.034	0.026	0.023	0.015	0.008	0.008	0.003	0.001	0.001	0.001	0.0	0.0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.002	0.005	0.009	0.01	0.011	0.019	0.028	0.039	0.031	0.044	0.062	0.076	0.065	0.071	0.071	0.063	0.069	0.054	0.051	0.048	0.039	0.027	0.027	0.022	0.013	0.012	0.01	0.007	0.005	0.004	0.002	0.001	0.001	0.0	0	0	0	0	0
Unknown	0.0	0.0	0.001	0.001	0.001	0.003	0.005	0.006	0.01	0.013	0.017	0.025	0.032	0.041	0.044	0.053	0.058	0.063	0.069	0.068	0.072	0.069	0.067	0.057	0.05	0.048	0.034	0.027	0.021	0.016	0.011	0.006	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0
ClassII:Rolling_Circle	0.007	0	0	0	0	0	0	0.007	0.014	0.021	0.049	0.035	0.07	0.07	0.077	0.063	0.035	0.042	0.035	0.035	0.056	0.021	0.028	0.021	0.035	0.049	0.056	0.049	0.035	0.021	0.035	0.007	0.007	0.014	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0	0	0	0.001	0.003	0.001	0.006	0.008	0.013	0.018	0.015	0.024	0.033	0.027	0.036	0.036	0.036	0.039	0.045	0.045	0.057	0.048	0.063	0.056	0.055	0.063	0.052	0.062	0.049	0.045	0.03	0.021	0.009	0.003	0.002	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.0	0.0	0.0	0.002	0.001	0.007	0.008	0.009	0.014	0.014	0.02	0.028	0.032	0.039	0.045	0.063	0.059	0.072	0.062	0.078	0.074	0.063	0.062	0.054	0.045	0.034	0.033	0.025	0.019	0.013	0.011	0.007	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0.027	0	0	0	0	0	0	0	0	0	0.027	0.054	0.027	0	0.054	0.081	0.027	0.027	0.027	0.135	0	0.054	0.027	0.135	0.054	0.054	0.027	0.054	0.054	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0
