Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	51-52	52-53
Simple_repeat	0.114	0.002	0.012	0.021	0.036	0.029	0.015	0.025	0.03	0.032	0.026	0.027	0.036	0.043	0.038	0.037	0.041	0.041	0.044	0.043	0.044	0.043	0.039	0.035	0.034	0.027	0.022	0.019	0.014	0.01	0.007	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
Low_complexity	0.0	0.0	0.0	0.002	0.001	0.002	0.005	0.008	0.008	0.012	0.019	0.023	0.032	0.031	0.041	0.053	0.06	0.059	0.067	0.064	0.068	0.068	0.062	0.058	0.056	0.046	0.035	0.032	0.025	0.019	0.014	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0
ClassII:TIR	0.001	0.002	0.003	0.008	0.008	0.008	0.011	0.015	0.021	0.026	0.029	0.031	0.035	0.04	0.046	0.052	0.059	0.062	0.065	0.064	0.064	0.057	0.051	0.045	0.038	0.034	0.029	0.024	0.02	0.015	0.012	0.008	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
Unknown	0.01	0.006	0.011	0.012	0.012	0.013	0.017	0.017	0.019	0.02	0.021	0.023	0.03	0.033	0.039	0.046	0.052	0.056	0.059	0.059	0.064	0.06	0.057	0.053	0.045	0.042	0.032	0.026	0.02	0.014	0.01	0.008	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.002	0.003	0.005	0.005	0.009	0.01	0.011	0.014	0.018	0.021	0.022	0.024	0.027	0.029	0.033	0.038	0.045	0.054	0.063	0.072	0.079	0.08	0.074	0.063	0.051	0.041	0.03	0.022	0.016	0.012	0.009	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.002	0.005	0.005	0.007	0.026	0.038	0.052	0.055	0.052	0.029	0.026	0.033	0.018	0.023	0.024	0.026	0.028	0.029	0.037	0.036	0.036	0.036	0.03	0.026	0.032	0.032	0.029	0.03	0.03	0.03	0.031	0.037	0.027	0.026	0.014	0.004	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.0	0.001	0.004	0.005	0.002	0.002	0.003	0.005	0.007	0.01	0.015	0.017	0.023	0.029	0.035	0.039	0.041	0.038	0.039	0.039	0.044	0.041	0.039	0.042	0.039	0.043	0.044	0.049	0.057	0.064	0.062	0.051	0.035	0.02	0.01	0.004	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.037	0.044	0.072	0.108	0.09	0.068	0.057	0.044	0.058	0.029	0.028	0.021	0.015	0.015	0.006	0.009	0.007	0.006	0.009	0.001	0.015	0.022	0.009	0.011	0.017	0.014	0.023	0.022	0.02	0.023	0.041	0.017	0.02	0.011	0.005	0.005	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
